	C1_s0_L001_R1_001_trimmed.fastqS.bam	C2_s0_L001_R1_001_trimmed.fastqS.bam	C3_s1_L001_R1_001_trimmed.fastqS.bam	C4_s0_L002_R1_001_trimmed.fastqS.bam	C5_s0_L002_R1_001_trimmed.fastqS.bam	NLA1_s0_L001_R1_001_trimmed.fastqS.bam	NLA2_s1_L001_R1_001_trimmed.fastqS.bam	NLA3_s0_L002_R1_001_trimmed.fastqS.bam	NLA4_s0_L002_R1_001_trimmed.fastqS.bam	NLA5_s0_L002_R1_001_trimmed.fastqS.bam	PLS1_s0_L001_R1_001_trimmed.fastqS.bam	PLS2_s0_L001_R1_001_trimmed.fastqS.bam	PLS3_s0_L002_R1_001_trimmed.fastqS.bam	PLS4_s0_L002_R1_001_trimmed.fastqS.bam	PLS5_s0_L002_R1_001_trimmed.fastqS.bam
hsa-miR-3175	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0
hsa-miR-3176	13	25	13	11	13	9	22	30	7	14	8	8	7	17	9
hsa-miR-3177-3p	10	11	16	17	15	1	14	9	3	3	3	3	4	1	3
hsa-miR-3177-5p	3	3	1	1	1	1	1	3	0	0	0	0	0	1	0
hsa-miR-3178	2	3	3	2	1	1	3	2	2	9	2	1	2	15	6
hsa-miR-3179	0	0	1	3	1	1	2	0	0	1	0	0	0	3	0
hsa-miR-3180	10	2	5	6	3	4	4	3	3	5	3	3	11	6	0
hsa-miR-3180-3p	10	2	5	7	4	4	4	3	3	6	3	3	11	6	0
hsa-miR-3180-5p	5	6	4	6	2	4	4	2	1	0	1	1	6	3	1
hsa-miR-3181	3	5	1	1	2	1	0	2	0	1	1	1	0	1	1
hsa-miR-3182	784	916	793	309	332	1606	274	336	234	6692	1012	856	508	1097	1211
hsa-miR-3183	1	0	0	3	1	1	2	0	0	0	3	4	1	1	1
hsa-miR-3184-3p	0	3	2	2	5	2	1	1	1	0	2	2	2	0	0
hsa-miR-3184-5p	1	2	1	2	3	1	0	1	0	0	0	0	0	0	0
hsa-miR-3185	1	1	0	2	0	1	0	0	0	0	0	0	1	0	0
hsa-miR-3186-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3186-5p	0	0	0	0	0	0	1	0	0	3	1	0	1	1	0
hsa-miR-3187-3p	2	3	2	2	4	1	3	2	0	2	4	3	6	4	1
hsa-miR-3187-5p	1	4	1	0	1	0	0	0	0	0	1	0	1	0	0
hsa-miR-3188	1	1	1	4	3	4	0	0	0	0	4	7	1	2	2
hsa-miR-3189-3p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3189-5p	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-3190-3p	0	0	0	0	2	1	4	0	1	2	8	2	4	10	4
hsa-miR-3190-5p	0	1	0	1	1	0	6	0	0	0	0	0	0	1	2
hsa-miR-3191-3p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-3191-5p	0	0	3	0	0	0	0	0	0	0	0	1	0	2	2
hsa-miR-3192-3p	3	1	1	1	1	1	0	1	0	0	0	0	1	0	0
hsa-miR-3192-5p	2	1	0	0	1	2	0	2	0	2	2	1	2	1	0
hsa-miR-3193	1	2	0	1	0	0	1	2	0	0	0	0	0	0	0
hsa-miR-3194-3p	1	1	2	0	5	0	2	0	0	2	3	0	1	1	1
hsa-miR-3194-5p	0	3	2	2	2	3	4	5	1	3	4	4	2	7	3
hsa-miR-3195	6	6	3	3	2	4	2	5	2	2	9	2	9	58	23
hsa-miR-3196	17	32	28	15	41	11	34	41	14	2	3	3	7	29	19
hsa-miR-3197	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0
hsa-miR-3198	0	3	1	2	0	0	1	0	0	0	0	0	0	0	1
hsa-miR-3199	4	3	3	5	3	6	6	11	1	3	11	6	12	5	4
hsa-miR-32-3p	44	54	39	26	48	30	19	22	9	25	15	26	37	16	8
hsa-miR-32-5p	414	424	342	358	486	273	300	216	57	272	254	358	363	242	98
hsa-miR-3200-3p	611	704	558	727	817	351	486	424	164	364	220	295	236	126	42
hsa-miR-3200-5p	14	17	21	19	25	18	21	19	9	9	6	10	14	3	1
hsa-miR-3201	0	1	1	1	1	0	0	5	0	0	1	1	1	0	1
hsa-miR-3202	3	2	4	1	1	1	3	0	2	0	1	4	0	2	1
hsa-miR-320a	3010	3342	2877	2809	3092	3335	5363	4874	2144	2528	4245	4089	5174	3519	1929
hsa-miR-320b	22	24	10	11	19	11	13	18	10	11	17	23	23	18	6
hsa-miR-320c	5	9	6	0	7	2	10	1	3	4	10	4	3	4	4
hsa-miR-320d	0	2	2	0	0	1	1	0	1	0	0	0	0	0	0
hsa-miR-320e	0	1	1	0	1	1	2	0	0	1	0	0	0	2	0
hsa-miR-323a-3p	834	935	716	847	1126	408	481	367	102	328	321	422	381	94	21
hsa-miR-323a-5p	5	2	3	4	7	3	3	2	0	1	2	7	5	1	0
hsa-miR-323b-3p	399	450	319	244	306	89	228	195	61	243	106	110	109	39	9
hsa-miR-323b-5p	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0
hsa-miR-324-3p	214	301	229	235	299	209	252	245	71	220	216	260	235	175	90
hsa-miR-324-5p	513	579	540	515	566	358	290	268	135	240	210	350	296	194	74
hsa-miR-325	1	1	1	1	0	0	0	0	0	0	2	1	1	1	0
hsa-miR-326	254	262	215	384	431	414	538	489	133	422	364	644	640	524	320
hsa-miR-328-3p	1116	1251	1050	1180	1353	908	1582	1350	483	958	678	956	1218	594	293
hsa-miR-328-5p	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0
hsa-miR-329-3p	200	289	201	323	370	87	126	107	32	89	99	138	118	42	7
hsa-miR-329-5p	10	11	12	6	13	6	3	1	1	3	3	1	8	2	3
hsa-miR-330-3p	1541	1684	1334	1260	1534	766	1094	888	365	586	242	462	336	137	48
hsa-miR-330-5p	2332	2575	2058	1997	2250	1407	1590	1618	777	1046	607	1028	811	278	136
hsa-miR-331-3p	1135	1270	949	1169	1358	1145	1960	1436	616	1063	719	1248	1524	940	426
hsa-miR-331-5p	26	38	34	30	41	30	32	21	8	22	14	33	29	18	7
hsa-miR-335-3p	513	608	547	511	605	840	360	275	148	263	506	1022	506	315	99
hsa-miR-335-5p	905	1086	915	748	979	1182	972	888	528	711	970	1755	1065	521	229
hsa-miR-337-3p	24	22	24	19	24	13	5	4	4	8	12	8	11	3	6
hsa-miR-337-5p	7	7	7	4	4	4	4	2	3	1	9	2	5	3	0
hsa-miR-338-3p	91992	100813	87163	84855	99524	64415	67173	66723	35859	51202	25730	54308	40240	13968	4705
hsa-miR-338-5p	5360	6651	4756	5039	6373	3663	11240	10075	3906	7068	1334	2922	1958	953	221
hsa-miR-339-3p	372	457	338	353	443	341	418	410	116	195	351	484	475	441	279
hsa-miR-339-5p	225	280	181	201	210	203	312	270	67	182	259	271	260	398	219
hsa-miR-33a-3p	31	28	30	47	28	22	14	22	4	26	15	14	16	8	1
hsa-miR-33a-5p	244	263	203	229	273	62	126	113	22	67	81	102	100	41	6
hsa-miR-33b-3p	4	4	2	3	2	0	4	0	3	0	0	2	0	2	0
hsa-miR-33b-5p	49	64	40	72	99	28	102	106	31	49	17	59	40	22	4
hsa-miR-340-3p	652	703	594	484	588	381	200	219	112	103	230	302	356	130	133
hsa-miR-340-5p	24727	29222	23497	23271	27343	13963	21599	18273	5860	19667	6272	14640	10874	6120	3018
hsa-miR-342-3p	4831	5336	4352	5054	5890	2804	3640	3357	1494	3416	2131	2607	2337	2039	1203
hsa-miR-342-5p	57	55	44	49	81	52	54	58	27	60	42	70	61	57	51
hsa-miR-345-3p	4	4	6	2	1	0	1	0	0	0	0	1	0	0	1
hsa-miR-345-5p	625	784	638	517	659	445	613	525	160	305	449	439	864	522	280
hsa-miR-346	247	291	247	250	244	150	209	155	64	119	68	138	139	75	27
hsa-miR-34a-3p	12	12	7	13	16	11	12	11	2	20	13	12	16	63	25
hsa-miR-34a-5p	319	299	258	326	406	701	534	527	176	457	656	824	937	2056	1134
hsa-miR-34b-3p	106	131	110	105	136	89	69	44	15	62	212	75	38	18	9
hsa-miR-34b-5p	315	399	299	311	360	331	225	220	80	199	1148	380	168	70	29
hsa-miR-34c-3p	75	92	86	41	63	73	50	26	11	30	130	64	39	16	5
hsa-miR-34c-5p	2793	3101	2617	2487	2915	2738	1788	1687	771	1820	10567	2829	1649	640	255
hsa-miR-3529-3p	0	2	2	2	0	0	0	0	0	0	2	0	0	1	0
hsa-miR-3529-5p	0	1	2	3	0	0	3	0	0	0	0	0	1	0	0
hsa-miR-3591-3p	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
hsa-miR-3591-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3605-3p	50	64	52	43	49	29	45	47	10	17	26	37	33	21	7
hsa-miR-3605-5p	23	18	20	22	24	15	13	18	7	18	6	13	17	8	9
hsa-miR-3606-3p	0	2	0	0	0	0	0	2	1	0	0	2	0	0	0
hsa-miR-3606-5p	0	2	0	0	0	0	0	2	1	1	0	2	0	0	0
hsa-miR-3607-3p	155	123	87	140	185	92	44	60	45	23	107	42	83	22	30
hsa-miR-3607-5p	68	38	17	53	60	25	10	7	13	6	38	2	23	6	3
hsa-miR-3609	54	71	49	27	43	16	7	10	6	12	6	3	2	2	2
hsa-miR-361-3p	626	774	589	633	709	700	833	774	332	513	753	924	957	685	412
hsa-miR-361-5p	1551	1684	1435	1505	1640	1183	1051	855	381	916	998	1054	1453	953	490
hsa-miR-3610	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0
hsa-miR-3611	16	16	4	5	5	3	10	13	7	6	4	8	3	4	3
hsa-miR-3612	0	5	1	0	2	0	3	2	5	0	0	0	0	0	1
hsa-miR-3613-3p	66	71	60	68	73	38	77	57	32	51	24	32	41	24	12
hsa-miR-3613-5p	440	544	423	425	535	226	442	369	86	136	212	386	297	200	113
hsa-miR-3614-3p	1	0	1	1	0	2	1	1	0	0	1	3	3	14	4
hsa-miR-3614-5p	0	0	0	1	2	2	4	2	1	2	4	10	4	14	14
hsa-miR-3615	211	256	149	161	209	137	526	465	167	185	54	103	283	78	42
hsa-miR-3616-3p	0	1	0	2	0	0	0	1	1	0	1	0	0	1	0
hsa-miR-3616-5p	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-3617-3p	0	0	2	0	0	0	0	0	0	0	0	1	2	1	0
hsa-miR-3617-5p	1	2	1	3	4	3	2	0	0	4	10	3	27	14	10
hsa-miR-3618	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0
hsa-miR-3619-3p	3	1	2	2	1	1	0	0	0	0	0	0	1	1	0
hsa-miR-3619-5p	1	0	0	3	2	2	0	1	0	0	2	0	0	1	0
hsa-miR-362-3p	16	14	13	13	17	4	16	20	3	12	15	26	22	23	10
hsa-miR-362-5p	94	85	68	117	127	85	68	76	25	12	157	70	117	69	47
hsa-miR-3620-3p	19	20	6	21	20	15	24	17	5	12	12	13	12	14	7
hsa-miR-3620-5p	6	9	5	4	4	2	17	12	2	3	6	3	6	7	2
hsa-miR-3621	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0
hsa-miR-3622a-3p	10	11	8	12	10	23	19	28	4	8	36	20	64	50	23
hsa-miR-3622a-5p	19	19	14	20	26	13	18	11	2	8	13	23	18	19	15
hsa-miR-3622b-3p	10	12	16	8	19	3	5	6	2	4	3	6	3	1	2
hsa-miR-3622b-5p	0	1	3	2	1	0	0	2	0	0	0	0	0	1	0
hsa-miR-363-3p	1153	1264	971	1055	1264	977	541	389	142	372	1355	1231	2036	1050	619
hsa-miR-363-5p	1	2	0	0	1	0	0	1	0	0	0	1	1	0	0
hsa-miR-3646	2	0	2	1	1	1	0	1	0	0	0	0	0	0	0
hsa-miR-3648	30	38	29	21	22	1	8	2	1	0	0	2	0	5	3
hsa-miR-3649	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-3650	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-3651	1	4	4	7	0	1	0	2	1	0	2	0	2	3	0
hsa-miR-3652	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
hsa-miR-3653-3p	31	28	22	43	40	28	19	28	21	4	21	8	42	17	19
hsa-miR-3653-5p	33	36	19	44	28	31	33	46	42	13	34	29	35	16	14
hsa-miR-3654	1	1	0	1	0	0	4	2	0	0	1	0	0	1	0
hsa-miR-3655	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0
hsa-miR-3656	5	4	7	7	8	4	12	11	8	5	6	0	9	19	9
hsa-miR-3657	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-3658	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0
hsa-miR-3659	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0
hsa-miR-365a-3p	259	264	200	289	305	474	298	216	130	284	352	509	498	419	127
hsa-miR-365a-5p	1	1	0	0	0	2	5	5	2	6	0	5	1	7	0
hsa-miR-365b-3p	259	264	200	289	305	474	298	216	130	284	352	509	498	419	127
hsa-miR-365b-5p	5	7	8	7	3	9	6	10	1	10	8	7	10	17	2
hsa-miR-3660	1	1	0	0	1	0	1	1	0	1	0	0	2	0	0
hsa-miR-3661	5	4	2	1	2	2	6	8	2	2	1	0	8	2	1
hsa-miR-3662	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0
hsa-miR-3663-3p	12	14	12	7	6	4	4	10	2	2	1	2	0	0	0
hsa-miR-3663-5p	0	0	1	0	0	0	3	1	0	0	0	0	0	1	0
hsa-miR-3664-3p	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0
hsa-miR-3664-5p	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
hsa-miR-3665	6	9	10	35	40	20	25	19	4	14	4	11	12	17	6
hsa-miR-3666	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0
hsa-miR-3667-3p	2	2	0	1	1	1	1	0	0	0	0	0	0	0	1
hsa-miR-3667-5p	2	3	1	0	2	2	0	1	0	0	0	1	0	0	1
hsa-miR-3668	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0
hsa-miR-367-3p	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0
hsa-miR-367-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-3670	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-3671	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-3672	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
hsa-miR-3674	3	0	0	1	0	2	0	1	0	0	0	0	0	0	0
hsa-miR-3675-3p	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0
hsa-miR-3675-5p	2	2	1	2	0	1	0	1	0	0	1	0	0	1	0
hsa-miR-3677-3p	7	14	16	4	12	7	15	12	2	2	14	7	17	8	4
hsa-miR-3677-5p	4	1	1	1	1	0	0	0	0	0	3	1	1	0	1
hsa-miR-3678-3p	0	0	1	2	0	1	1	0	0	0	0	0	1	0	0
hsa-miR-3678-5p	3	3	1	1	1	0	1	1	1	0	0	0	1	1	0
hsa-miR-3679-3p	4	2	3	2	0	3	0	0	0	3	0	0	0	1	0
hsa-miR-3679-5p	5	1	4	0	2	4	1	2	1	1	0	1	1	6	0
hsa-miR-3680-3p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3680-5p	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
hsa-miR-3681-3p	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-3681-5p	0	3	2	1	1	3	2	4	0	0	4	8	2	1	4
hsa-miR-3682-3p	0	1	1	0	1	1	2	0	0	1	1	0	1	0	0
hsa-miR-3682-5p	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0
hsa-miR-3683	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3684	1	1	1	0	1	1	1	0	0	0	1	1	2	2	1
hsa-miR-3685	1	1	0	1	1	0	0	0	0	0	1	0	0	0	1
hsa-miR-3686	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0
hsa-miR-3687	44	48	32	39	56	5	7	5	6	0	4	2	3	10	4
hsa-miR-3688-3p	3	3	6	3	7	1	5	7	2	5	4	5	5	3	0
hsa-miR-3688-5p	1	0	1	1	3	0	0	0	0	0	0	0	0	0	0
hsa-miR-3689a-3p	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-3689a-5p	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3689b-3p	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-3689b-5p	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3689c	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-3689d	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-3689e	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3689f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-369-3p	283	340	261	333	417	114	100	113	43	67	87	137	97	31	16
hsa-miR-369-5p	185	186	168	174	213	95	53	59	17	39	72	70	130	17	11
hsa-miR-3690	2	2	1	2	2	0	10	2	1	3	0	2	0	3	0
hsa-miR-3691-3p	0	1	0	4	1	0	0	2	1	0	0	2	0	0	0
hsa-miR-3691-5p	1	6	3	2	1	0	2	4	0	1	3	2	1	5	1
hsa-miR-3692-3p	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0
hsa-miR-3692-5p	2	0	0	1	0	0	2	0	0	0	1	0	0	0	0
hsa-miR-370-3p	147	156	145	169	190	132	170	118	61	17	102	143	101	24	11
hsa-miR-370-5p	8	6	7	7	11	5	6	1	1	1	6	4	9	2	0
hsa-miR-3713	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3714	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-371a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-371a-5p	2	2	0	0	1	0	0	0	0	1	0	0	1	0	1
hsa-miR-371b-3p	1	0	0	0	1	0	0	0	0	0	1	0	0	0	2
hsa-miR-371b-5p	1	0	0	1	1	3	1	0	0	1	4	3	2	5	23
hsa-miR-372-3p	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0
hsa-miR-372-5p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-373-3p	1	0	0	0	0	2	2	1	0	1	0	0	0	1	0
hsa-miR-373-5p	0	1	1	1	1	1	0	0	0	3	0	0	0	2	1
hsa-miR-374a-3p	2391	2585	2212	2130	2485	1227	1289	1239	588	1176	1552	1610	2137	1484	789
hsa-miR-374a-5p	995	1011	917	955	1060	648	505	502	251	647	699	762	849	605	284
hsa-miR-374b-3p	273	335	263	240	271	269	149	106	33	169	332	242	323	218	109
hsa-miR-374b-5p	1579	1828	1472	1456	1764	1435	1127	1023	436	2710	1196	1382	1889	1352	488
hsa-miR-374c-3p	4	1	1	4	11	0	1	0	1	5	1	2	3	4	1
hsa-miR-374c-5p	108	125	96	96	122	80	79	73	30	203	78	81	113	113	40
hsa-miR-375	108	107	77	55	76	48	56	39	7	16	609	178	102	39	11
hsa-miR-376a-2-5p	6	1	1	4	3	0	2	0	0	0	2	3	4	0	0
hsa-miR-376a-3p	31	25	29	24	27	8	7	4	3	8	8	18	5	6	1
hsa-miR-376a-5p	128	143	124	142	196	53	73	54	21	28	65	94	87	33	12
hsa-miR-376b-3p	17	32	21	30	34	13	7	14	7	10	5	25	10	5	4
hsa-miR-376b-5p	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-376c-3p	61	79	85	94	125	53	54	48	20	49	53	67	44	18	2
hsa-miR-376c-5p	8	10	6	3	1	2	2	1	1	1	2	3	1	0	0
hsa-miR-377-3p	105	114	78	129	159	59	49	48	32	37	76	88	60	12	2
hsa-miR-377-5p	57	46	33	57	67	44	46	34	7	44	27	60	40	16	2
hsa-miR-378a-3p	1563	1780	1461	1599	1986	2173	2554	2324	1052	1597	3586	3793	3269	6079	4735
hsa-miR-378a-5p	33	31	21	46	40	49	44	33	14	19	40	66	57	97	64
hsa-miR-378b	5	4	1	1	3	2	0	0	1	2	1	1	1	1	0
hsa-miR-378c	9	13	5	10	9	8	13	15	7	8	19	22	17	24	18
hsa-miR-378d	5	6	6	10	10	3	8	8	2	3	15	15	12	9	8
hsa-miR-378e	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-378f	1	1	1	2	1	1	1	3	3	0	1	2	2	1	7
hsa-miR-378g	12	13	11	8	17	8	9	14	5	11	10	17	19	29	16
hsa-miR-378h	1	2	0	0	1	0	0	1	0	0	0	0	0	0	1
hsa-miR-378i	3	1	1	1	7	2	0	5	2	3	4	1	5	7	5
hsa-miR-378j	2	2	3	0	0	0	1	3	0	2	0	1	0	0	0
hsa-miR-379-3p	22	25	19	22	22	12	10	10	0	6	14	8	12	5	3
hsa-miR-379-5p	59	58	44	68	81	40	25	25	11	11	49	48	33	11	3
hsa-miR-380-3p	40	38	36	36	44	35	11	5	9	21	18	29	24	1	1
hsa-miR-380-5p	1	6	1	2	6	4	1	4	1	4	3	5	3	0	1
hsa-miR-381-3p	3074	3670	2813	4200	5060	2007	1479	1406	378	1081	2099	2559	1696	448	160
hsa-miR-381-5p	7	3	5	8	4	4	1	1	0	2	3	4	2	1	0
hsa-miR-382-3p	87	82	79	132	116	42	44	39	9	34	39	53	39	19	7
hsa-miR-382-5p	128	113	98	139	139	92	91	69	27	61	65	80	60	20	7
hsa-miR-383-3p	12	4	6	9	12	1	15	4	1	2	1	1	4	0	0
hsa-miR-383-5p	935	1196	976	829	974	259	565	501	253	258	238	366	659	113	34
hsa-miR-384	21	19	23	8	5	2	3	0	0	0	1	4	1	1	1
hsa-miR-3907	2	3	0	2	2	2	1	1	0	0	3	0	0	0	0
hsa-miR-3908	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
hsa-miR-3909	80	68	41	60	67	40	46	42	9	29	39	53	64	64	58
hsa-miR-3910	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-3911	3	1	4	2	5	0	0	3	1	1	0	0	2	0	0
hsa-miR-3912-3p	19	25	32	31	20	17	9	16	6	22	24	32	42	22	17
hsa-miR-3912-5p	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0
hsa-miR-3913-3p	0	2	0	1	0	0	0	1	0	1	0	0	3	1	0
hsa-miR-3913-5p	4	11	11	4	7	9	25	11	9	11	10	14	17	12	7
hsa-miR-3914	1	1	2	2	3	1	1	0	2	0	0	2	0	0	0
hsa-miR-3915	2	1	1	0	2	0	0	1	1	0	0	0	0	0	0
hsa-miR-3916	3	7	5	2	2	0	2	2	1	0	0	3	0	1	3
hsa-miR-3917	1	1	0	1	1	0	0	1	0	1	0	0	1	0	1
hsa-miR-3918	0	2	0	0	0	0	1	1	0	0	1	0	1	0	0
hsa-miR-3919	2	3	1	0	1	0	0	0	0	0	0	0	1	1	1
hsa-miR-3920	0	2	1	1	0	0	1	0	1	0	0	0	1	0	1
hsa-miR-3921	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-3922-3p	2	3	3	1	4	1	5	1	2	4	1	1	3	5	5
hsa-miR-3922-5p	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
hsa-miR-3923	0	2	3	1	0	1	0	0	0	0	1	1	0	1	0
hsa-miR-3924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3925-3p	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0
hsa-miR-3925-5p	0	4	0	1	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-3926	0	1	2	0	0	1	1	1	0	0	0	0	1	0	0
hsa-miR-3927-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-3927-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3928-3p	10	21	7	8	16	8	14	23	1	8	4	10	7	3	1
hsa-miR-3928-5p	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0
hsa-miR-3929	75	83	56	66	69	5	17	22	11	13	8	7	4	13	6
hsa-miR-3934-3p	0	2	2	1	1	2	1	1	1	0	0	1	1	1	0
hsa-miR-3934-5p	9	1	2	3	9	1	0	2	1	2	0	1	1	1	0
hsa-miR-3935	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0
hsa-miR-3936	1	2	1	0	0	1	0	1	3	1	0	0	2	1	0
hsa-miR-3937	2	3	2	4	7	2	7	8	1	1	0	0	0	1	1
hsa-miR-3938	5	6	7	5	4	4	1	4	2	1	6	5	5	0	1
hsa-miR-3939	0	0	1	0	0	0	1	1	1	0	1	1	0	0	0
hsa-miR-3940-3p	2	3	5	0	3	3	5	3	1	0	7	7	5	4	2
hsa-miR-3940-5p	0	0	3	2	1	0	0	1	0	0	0	0	0	0	0
hsa-miR-3941	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0
hsa-miR-3942-3p	2	1	1	1	2	0	0	1	0	0	2	0	0	0	0
hsa-miR-3942-5p	5	3	2	1	2	2	2	1	0	0	2	2	1	0	1
hsa-miR-3943	26	32	31	48	51	24	32	27	17	27	30	34	20	2	1
hsa-miR-3944-3p	5	3	3	5	1	0	1	3	3	1	2	1	0	2	1
hsa-miR-3944-5p	1	2	0	0	0	0	0	0	1	0	0	1	0	0	0
hsa-miR-3945	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3960	120	203	159	169	214	81	159	167	95	82	37	42	61	98	58
hsa-miR-3972	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0
hsa-miR-3973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3974	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-3975	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3976	7	7	1	1	8	3	6	2	3	6	1	7	14	99	10
hsa-miR-3977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3978	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-409-3p	1079	1186	1042	1116	1144	522	979	856	362	432	512	779	615	158	61
hsa-miR-409-5p	26	29	22	27	28	15	11	13	7	9	25	13	15	3	2
hsa-miR-410-3p	5107	6256	4761	5615	6789	1753	1251	1032	229	969	1082	1381	1262	308	102
hsa-miR-410-5p	2	0	2	1	1	0	0	2	0	0	1	0	0	1	0
hsa-miR-411-3p	52	39	48	43	59	30	9	10	8	21	20	27	23	5	0
hsa-miR-411-5p	2738	3142	2522	2885	3592	1848	668	479	185	599	1638	1955	1921	527	174
hsa-miR-412-3p	0	0	0	2	1	2	1	0	0	0	0	0	0	0	0
hsa-miR-412-5p	2	11	6	45	62	24	4	3	0	0	26	27	24	11	3
hsa-miR-421	5672	6311	5139	4447	5269	2864	2750	2447	1131	2318	1529	2135	2542	1626	933
hsa-miR-422a	3	1	0	0	1	0	1	2	0	0	0	1	0	0	0
hsa-miR-423-3p	4550	5072	4262	4313	4955	3926	4585	3945	1787	1876	2430	3591	4619	2800	2120
hsa-miR-423-5p	964	1079	889	748	845	1158	1556	1251	580	1006	884	1165	1520	950	830
hsa-miR-424-3p	23	27	25	31	23	14	26	12	9	18	16	19	13	3	16
hsa-miR-424-5p	333	368	276	611	699	131	371	369	230	555	174	232	178	109	147
hsa-miR-425-3p	197	209	167	187	227	130	206	168	72	130	113	154	155	107	53
hsa-miR-425-5p	1095	1228	944	1065	1321	748	916	809	339	421	782	825	999	805	511
